AAPL,GOOG,AMZN,MSFT
0.0,0.0,97948.27,0.0
0.0,0.0,95711.79,0.0
0.0,0.0,96726.31,0.0
0.0,0.0,97387.53,0.0
0.0,0.0,96243.36,0.0
0.0,0.0,94454.17,0.0
0.0,0.0,95533.52,0.0
0.0,0.0,95057.05,0.0
0.0,0.0,93008.56,0.0
0.0,39285.53,54925.38,0.0
0.0,0.0,93789.66,0.0
0.0,47027.86,49062.75,0.0
0.0,0.0,100315.68,0.0
0.0,0.0,100984.84,0.0
0.0,0.0,100102.32,0.0
2549.7,0.0,96545.94,0.0
0.0,0.0,98178.19,0.0
0.0,0.0,100720.59,0.0
0.0,0.0,114530.98,0.0
0.0,0.0,117742.1,0.0
0.0,0.0,117444.9,0.0
0.0,0.0,117832.55,0.0
0.0,1899.82,118856.06,0.0
0.0,0.0,120881.84,0.0
0.0,0.0,119680.38,0.0
0.0,0.0,120468.43,0.0
0.0,0.0,121159.59,0.0
0.0,6322.65,115540.18,0.0
0.0,0.0,123368.47,0.0
0.0,0.0,121300.64,0.0
0.0,0.0,120635.07,0.0
0.0,51412.87,70573.21,0.0
0.0,0.0,123485.96,0.0
0.0,0.0,122353.0,0.0
0.0,0.0,121854.12,0.0
0.0,0.0,124036.34,0.0
28586.97,0.0,95669.29,0.0
0.0,0.0,122757.94,0.0
0.0,0.0,124533.97,0.0
0.0,0.0,124194.9,0.0
0.0,0.0,0.0,0.0
0.0,0.0,125853.13,0.0
0.0,0.0,123341.45,0.0
0.0,46101.77,77023.86,0.0
0.0,0.0,120182.15,0.0
0.0,0.0,119160.88,0.0
0.0,0.0,121720.57,0.0
0.0,0.0,120530.16,0.0
0.0,0.0,121431.1,0.0
0.0,0.0,120966.0,0.0
0.0,0.0,122013.29,0.0
0.0,0.0,121395.33,0.0
0.0,0.0,123102.87,0.0
0.0,0.0,122003.54,0.0
0.0,0.0,121671.78,0.0
0.0,0.0,120653.76,0.0
0.0,0.0,119479.62,0.0
0.0,0.0,120523.66,0.0
0.0,28097.65,93621.4,0.0
0.0,0.0,90321.06,30568.07
0.0,0.0,120291.34,0.0
0.0,0.0,120937.85,0.0
0.0,0.0,122494.04,0.0
0.0,0.0,121639.6,0.0
0.0,0.0,123845.55,0.0
0.0,0.0,120832.09,3756.18
0.0,0.0,124299.17,0.0
0.0,0.0,124204.96,0.0
0.0,0.0,125098.27,0.0
0.0,0.0,124559.04,0.0
0.0,33866.92,91386.28,0.0
0.0,0.0,121852.9,0.0
0.0,0.0,126379.07,0.0
0.0,0.0,126920.91,0.0
0.0,0.0,126473.16,0.0
0.0,0.0,126534.81,0.0
0.0,0.0,144415.6,0.0
0.0,0.0,142293.66,0.0
0.0,0.0,139292.44,0.0
