Date,Crypto,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
,,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,BNB-USD,BNB-USD,BNB-USD,BNB-USD,BNB-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,XRP-USD,XRP-USD,XRP-USD,XRP-USD,XRP-USD
1/1/2018,Bitcoin,14112.2002,14112.2002,13154.7002,13657.2002,10291200000,,,,,,,,,,,,,,,,,,,,
1/2/2018,Bitcoin,13625,15444.59961,13163.59961,14982.09961,16846600192,,,,,,,,,,,,,,,,,,,,
1/3/2018,Bitcoin,14978.2002,15572.7998,14844.5,15201,16871900160,,,,,,,,,,,,,,,,,,,,
1/4/2018,Bitcoin,15270.7002,15739.7002,14522.2002,15599.2002,21783199744,,,,,,,,,,,,,,,,,,,,
1/5/2018,Bitcoin,15477.2002,17705.19922,15202.7998,17429.5,23840899072,,,,,,,,,,,,,,,,,,,,
1/6/2018,Bitcoin,17462.09961,17712.40039,16764.59961,17527,18314600448,,,,,,,,,,,,,,,,,,,,
1/7/2018,Bitcoin,17527.30078,17579.59961,16087.7002,16477.59961,15866000384,,,,,,,,,,,,,,,,,,,,
1/8/2018,Bitcoin,16476.19922,16537.90039,14208.2002,15170.09961,18413899776,,,,,,,,,,,,,,,,,,,,
1/9/2018,Bitcoin,15123.7002,15497.5,14424,14595.40039,16659999744,,,,,,,,,,,,,,,,,,,,
1/10/2018,Bitcoin,14588.5,14973.2998,13691.2002,14973.2998,18500800512,,,,,,,,,,,,,,,,,,,,
1/11/2018,Bitcoin,14968.2002,15018.7998,13105.90039,13405.7998,16534099968,,,,,,,,,,,,,,,,,,,,
1/12/2018,Bitcoin,13453.90039,14229.90039,13158.09961,13980.59961,12065699840,,,,,,,,,,,,,,,,,,,,
1/13/2018,Bitcoin,13952.40039,14659.5,13952.40039,14360.2002,12763599872,,,,,,,,,,,,,,,,,,,,
1/14/2018,Bitcoin,14370.7998,14511.7998,13268,13772,11084099584,,,,,,,,,,,,,,,,,,,,
