#{"t_start": 1747926801.86434, "env_id": "None"}
r,l,t
0.122772,365,2.208833
-0.061637,365,2.397676
-0.096924,365,2.604292
0.3425,365,2.793522
0.065101,365,2.995123
0.054324,365,5.338893
-0.099118,365,5.54437
0.245296,365,5.766798
-0.039799,365,5.98818
-0.001302,365,6.207768
0.063284,365,6.411022
0.123721,365,8.674989
-0.124467,365,8.943794
-0.023129,365,9.166905
0.110694,365,9.388265
0.208657,365,9.609627
0.177095,365,11.951321
0.061578,365,12.20816
-0.183675,365,12.409676
0.059902,365,12.690735
0.317204,365,12.964007
0.361411,365,13.167296
0.244684,365,15.967225
-0.053397,365,16.15625
-0.064069,365,16.36127
0.201572,365,16.630803
0.131741,365,16.852283
0.202741,365,17.041084
0.14769,365,19.119326
-0.088692,365,19.467768
-0.22256,365,19.832671
0.059144,365,20.054022
-0.287748,365,20.292469
-0.274091,365,22.517362
-0.265508,365,22.731833
0.08572,365,22.940073
0.041942,365,23.160262
0.060737,365,23.367005
0.405327,365,23.573715
0.221512,365,25.748708
0.102046,365,26.002113
-0.206942,365,26.272151
0.036933,365,26.461282
0.10656,365,26.715141
-0.025874,365,28.389877
0.178833,365,28.644593
0.048559,365,28.835742
0.004938,365,29.040606
-0.218888,365,29.229486
0.084415,365,29.43316
0.17639,365,31.18455
-0.054217,365,31.406073
0.380945,365,31.582255
0.176673,365,31.78882
0.289095,365,31.980731
-0.105808,365,32.171646
-0.076507,365,33.842275
0.173086,365,34.047361
-0.324398,365,34.268353
-0.058609,365,34.465835
-0.044759,365,34.64855
-0.268558,365,36.674635
-0.083693,365,37.20021
-0.087804,365,37.472687
0.130727,365,37.694141
0.115594,365,37.895407
0.137484,365,38.092865
0.103534,365,40.410759
0.160597,365,40.710239
0.016867,365,41.04751
0.146493,365,41.277406
0.253922,365,41.493972
0.175595,365,43.188135
-0.024173,365,43.45993
-0.165265,365,43.653435
-0.059956,365,43.868257
0.043958,365,44.113584
0.069087,365,44.442644
0.093473,365,47.532541
0.163788,365,47.969145
-0.210725,365,48.404712
-0.101506,365,48.849402
0.049623,365,49.303547
0.130342,365,49.771271
-0.228262,365,53.156248
0.008415,365,53.588027
-0.026362,365,54.024598
0.305717,365,54.448577
0.332625,365,54.884856
0.161646,365,57.247053
0.222788,365,57.487128
0.073138,365,57.68172
0.263012,365,57.892101
-0.29409,365,58.056409
0.115656,365,58.245532
0.289822,365,59.777114
0.009508,365,59.988802
-0.068983,365,60.181349
-0.171116,365,60.370263
-0.013549,365,60.571613
-0.029529,365,63.096945
0.319252,365,63.522535
0.019535,365,63.945974
0.095338,365,64.383816
0.082732,365,64.821068
-0.130172,365,65.247357
0.093619,365,67.017462
0.069593,365,67.228128
0.22966,365,67.422703
0.151562,365,67.634481
0.212701,365,67.823558
-0.189847,365,68.022685
-0.140477,365,69.588284
-0.066002,365,69.763177
0.258261,365,69.973669
0.201771,365,70.394338
0.171439,365,70.894264
0.0862,365,74.055626
-0.145978,365,74.488475
-0.184024,365,74.909786
0.205963,365,75.360591
-0.002585,365,75.804555
-0.143964,365,76.466723
-0.055714,365,79.100612
0.055637,365,79.321897
0.188681,365,79.573627
0.194578,365,79.786301
-0.409419,365,79.978151
0.161784,365,80.169929
0.094995,365,82.188334
0.002373,365,82.633172
0.105047,365,83.061403
0.221484,365,83.654537
0.110523,365,84.144558
-0.006083,365,87.430428
-0.215389,365,87.900967
0.23056,365,88.335707
0.161404,365,88.762683
-0.142864,365,89.186556
0.371067,365,89.622342
0.339872,365,91.733838
-0.209246,365,91.947643
-0.008998,365,92.121166
0.302727,365,92.314873
0.062687,365,92.493992
0.51947,365,94.089319
0.083921,365,94.316567
-0.057366,365,94.500462
0.302666,365,94.689817
0.182838,365,94.868132
0.416616,365,95.071518
0.335005,365,97.922755
0.001055,365,98.40285
-0.076813,365,98.902093
0.395592,365,99.398951
0.430986,365,99.87127
0.406299,365,100.355913
0.203555,365,102.507554
0.095207,365,102.723307
0.366632,365,102.924271
0.08304,365,103.159654
0.603466,365,103.342409
0.196691,365,105.842654
0.338078,365,106.393615
0.125034,365,106.836745
-0.029909,365,107.263257
0.403141,365,107.707001
-0.011748,365,108.132142
0.099258,365,111.047783
-0.145383,365,111.252502
0.285137,365,111.441109
0.46439,365,111.631162
0.051457,365,111.80477
0.074825,365,113.670068
0.003756,365,113.938964
0.112935,365,114.143602
0.247828,365,114.442789
0.093113,365,114.885182
0.064781,365,115.31171
0.161161,365,118.703755
0.370909,365,118.922817
0.215826,365,119.124055
0.218209,365,119.319778
0.06351,365,119.512986
0.216662,365,119.684397
0.124399,365,121.789508
0.28312,365,121.994582
0.054997,365,122.200702
0.180596,365,122.516296
-0.090462,365,122.941676
0.528393,365,126.502969
0.139881,365,126.746908
0.171702,365,126.95186
0.313526,365,127.141348
-0.034553,365,127.330287
0.367047,365,127.535289
0.218532,365,129.594085
0.403096,365,129.793815
0.192865,365,130.001361
0.255388,365,130.200583
0.016824,365,130.447442
-0.001685,365,134.059002
0.284505,365,134.453583
0.029774,365,134.678988
0.10793,365,134.883593
0.2312,365,135.072476
0.142182,365,135.261472
0.128306,365,137.207132
0.117951,365,137.490365
0.235044,365,137.696961
-0.046532,365,137.903929
0.11259,365,138.093507
0.139969,365,138.29906
0.26332,365,142.021776
0.329394,365,142.457633
0.231855,365,142.895769
0.193548,365,143.328569
0.013078,365,143.759171
0.146368,365,145.407765
0.395244,365,145.644767
0.095175,365,145.844676
0.232708,365,146.049106
0.00057,365,146.23809
0.072831,365,146.439713
0.181312,365,147.990631
0.527302,365,148.195786
0.140886,365,148.408566
0.723555,365,148.787868
0.181772,365,149.216038
0.359459,365,149.668893
0.15816,365,152.662267
-0.026,365,152.862172
0.236702,365,153.062282
0.364194,365,153.264587
0.396522,365,153.628269
0.335638,365,155.715107
0.237231,365,155.944558
0.191252,365,156.158348
0.328743,365,156.390536
0.178511,365,156.602655
0.0864,365,156.79222
0.463258,365,159.126006
0.031676,365,159.328563
0.23339,365,159.525424
0.160978,365,159.722631
0.264563,365,159.896646
0.213457,365,161.460178
0.132915,365,161.694426
0.142225,365,161.882616
0.147546,365,162.086957
0.17965,365,162.273809
0.281354,365,162.461772
0.316063,365,164.218277
0.277674,365,164.438552
0.131298,365,164.658847
0.132135,365,164.847348
0.405645,365,165.019459
0.232301,365,165.206282
0.294969,365,166.894201
0.225504,365,167.107052
0.045423,365,167.300842
0.126194,365,167.510353
0.134116,365,167.721803
0.278879,365,169.51067
0.192172,365,169.754418
0.228158,365,169.959411
0.555035,365,170.168614
0.233104,365,170.365984
0.236538,365,170.573065
0.303197,365,172.086033
0.342265,365,172.292954
0.2767,365,172.481462
0.043774,365,172.705223
0.471092,365,172.920285
0.417188,365,175.341332
0.222214,365,175.783675
0.265665,365,176.20405
0.288627,365,176.640998
0.193849,365,177.058323
0.21016,365,177.488862
0.428975,365,179.929165
0.321495,365,180.125458
0.315622,365,180.305281
0.273566,365,180.494673
0.301962,365,180.67397
0.68245,365,180.853399
0.245627,365,182.236044
0.300164,365,182.405632
0.39317,365,182.604995
0.363178,365,182.782431
0.133214,365,182.970511
0.215789,365,185.123827
0.17948,365,185.556331
0.33462,365,186.002514
0.239547,365,186.44064
0.450074,365,186.860708
0.34393,365,187.344466
0.471837,365,189.993658
0.273601,365,190.418317
0.242715,365,190.840796
0.231818,365,191.282445
0.637769,365,191.703029
0.259958,365,193.639283
0.334391,365,193.859961
0.514411,365,194.039275
0.262523,365,194.233596
0.421717,365,194.40731
0.464457,365,194.607068
0.292866,365,196.048362
0.439774,365,196.281638
0.260296,365,196.454761
0.298894,365,196.66346
0.258712,365,196.927251
0.262017,365,197.363761
0.42409,365,199.997986
0.466094,365,200.421449
0.359372,365,200.843859
0.228604,365,201.279839
0.444079,365,201.701415
0.284145,365,204.087934
0.35022,365,204.295937
0.207978,365,204.484635
0.078669,365,204.685172
0.374076,365,204.873637
0.259257,365,205.081025
0.314566,365,206.565683
0.347253,365,206.785718
0.135626,365,206.990897
0.322196,365,207.201472
0.514114,365,207.397758
0.204291,365,207.609693
0.174735,365,210.168442
0.202299,365,210.598495
0.360898,365,211.019111
0.607209,365,211.437105
0.291472,365,211.874421
0.424833,365,214.233853
0.521892,365,214.454651
0.494513,365,214.657205
0.430469,365,214.8463
0.448246,365,215.035157
0.328618,365,215.235628
0.436553,365,216.786489
0.153312,365,216.976547
0.170623,365,217.16755
0.399845,365,217.352818
0.63967,365,217.550065
0.484131,365,219.896259
0.367465,365,220.341703
0.383203,365,220.777755
0.228235,365,221.199002
0.382538,365,221.631973
0.525045,365,222.047617
0.37323,365,224.297446
0.548478,365,224.502196
0.321105,365,224.715992
0.294071,365,224.909856
0.278872,365,225.109998
0.319602,365,225.285999
0.496254,365,226.759948
0.319814,365,226.9642
0.043823,365,227.166438
0.353509,365,227.466232
0.346778,365,227.673745
0.255706,365,230.124543
0.338074,365,230.555433
0.205409,365,230.981867
0.353802,365,231.401576
0.1437,365,231.84054
0.555217,365,232.264466
0.10568,365,234.474801
0.337057,365,234.664947
0.332806,365,234.850583
0.354061,365,235.023932
0.403248,365,235.21342
0.280879,365,236.617921
-0.018054,365,236.821777
0.094075,365,237.031522
0.549291,365,237.243452
0.466628,365,237.446701
0.392156,365,237.64928
0.103065,365,240.058973
0.474314,365,240.480338
0.24468,365,240.905319
0.418215,365,241.327289
0.354153,365,241.764368
0.491588,365,242.196979
0.297618,365,244.418172
0.443644,365,244.616827
0.304978,365,244.806305
0.463116,365,245.0104
0.387862,365,245.1957
0.409606,365,246.664374
0.471885,365,246.885475
0.645348,365,247.086361
0.719646,365,247.258524
0.414643,365,247.463844
0.606344,365,247.665658
0.332552,365,249.920684
0.47938,365,250.343291
0.357407,365,250.7791
0.321895,365,251.210605
0.259978,365,251.644403
0.528902,365,254.210166
0.312965,365,254.425809
0.362174,365,254.615451
0.399415,365,254.820611
0.411713,365,255.014565
0.399738,365,255.210756
0.566755,365,256.695173
0.316843,365,256.915042
0.387864,365,257.115106
0.417154,365,257.319034
0.313693,365,257.523455
0.314696,365,257.725468
0.62001,365,260.015104
0.455733,365,260.438164
0.398052,365,260.875989
0.259851,365,261.309371
0.650418,365,261.726334
0.263269,365,264.303291
0.693055,365,264.514232
0.483345,365,264.72525
0.246707,365,264.9137
0.250275,365,265.121696
0.051793,365,265.303051
0.274493,365,266.771101
0.323061,365,266.977081
0.368209,365,267.163823
0.350907,365,267.337237
0.404564,365,267.526896
0.233596,365,267.726966
0.275099,365,270.08588
0.564965,365,270.521046
0.494485,365,270.943655
0.40387,365,271.384434
0.47484,365,271.801554
0.526014,365,273.929072
0.392969,365,274.146272
0.392425,365,274.350035
0.169467,365,274.551568
0.483583,365,274.739509
0.483292,365,274.943299
0.430177,365,276.327829
0.480092,365,276.557768
0.312648,365,276.775105
0.649316,365,276.965035
0.605083,365,277.176462
0.294878,365,279.708205
0.428444,365,280.128994
0.627011,365,280.569845
0.545096,365,280.993088
0.3667,365,281.43039
0.446322,365,281.849345
0.494695,365,284.395335
0.379777,365,284.611297
0.58521,365,284.803324
0.375873,365,284.992081
0.656896,365,285.204403
0.426936,365,285.400335
0.499507,365,286.87095
0.462897,365,287.093842
0.427041,365,287.294436
0.548614,365,287.482589
0.415857,365,287.690521
0.579807,365,289.880495
0.412363,365,290.316378
0.369122,365,290.753211
0.299705,365,291.174596
0.533124,365,291.614956
0.324092,365,292.044875
0.403457,365,294.099166
0.410858,365,294.303437
0.415862,365,294.508738
0.54848,365,294.709439
0.356257,365,294.899058
0.477531,365,296.391089
0.503776,365,296.615543
0.5365,365,296.829185
0.464851,365,297.032364
0.369771,365,297.23671
0.51871,365,297.439474
0.525652,365,299.204856
0.500457,365,299.440203
0.425151,365,299.641979
0.354064,365,299.846461
