AAPL,GOOG,AMZN,MSFT
0.0,0.0,97948.27,0.0
0.0,0.0,95711.79,0.0
0.0,0.0,96726.31,0.0
0.0,0.0,97387.53,0.0
0.0,0.0,96243.36,0.0
0.0,0.0,94454.17,0.0
7684.01,0.0,87830.14,0.0
0.0,0.0,95037.78,0.0
0.0,0.0,92989.71,0.0
0.0,0.0,94217.9,0.0
0.0,0.0,93796.62,0.0
0.0,0.0,96327.55,0.0
0.0,0.0,100563.04,0.0
0.0,0.0,101233.85,0.0
0.0,0.0,100349.16,0.0
0.0,0.0,51100.33,44425.94
0.0,0.0,94641.86,0.0
0.0,0.0,97092.68,0.0
0.0,0.0,110405.64,0.0
0.0,0.0,113501.09,0.0
0.0,0.0,113214.59,0.0
0.0,0.0,113588.29,0.0
0.0,0.0,116434.61,0.0
0.0,0.0,116556.07,0.0
0.0,0.0,115397.61,0.0
0.0,0.0,116157.45,0.0
0.0,0.0,116823.88,0.0
0.0,0.0,117456.05,0.0
0.0,0.0,118907.24,0.0
0.0,0.0,116914.19,0.0
0.0,0.0,116272.68,0.0
0.0,0.0,118025.95,0.0
0.0,0.0,119477.13,0.0
0.0,0.0,118380.95,0.0
0.0,0.0,117898.26,0.0
0.0,47681.53,72168.83,0.0
0.0,0.0,119673.08,0.0
0.0,0.0,118230.04,0.0
0.0,0.0,119940.55,0.0
0.0,0.0,119613.99,0.0
0.0,0.0,119026.2,0.0
0.0,0.0,120615.42,0.0
0.0,0.0,98789.99,19469.1
0.0,0.0,117783.06,0.0
0.0,0.0,114967.29,0.0
14094.63,0.0,99757.17,0.0
0.0,0.0,116297.45,0.0
0.0,0.0,115160.08,0.0
0.0,0.0,116020.87,0.0
0.0,0.0,115576.5,0.0
0.0,0.0,116577.13,0.0
0.0,0.0,115986.7,0.0
0.0,0.0,117618.16,0.0
0.0,0.0,116567.81,0.0
0.0,0.0,116250.84,0.0
0.0,0.0,115278.17,0.0
0.0,0.0,114156.34,0.0
0.0,0.0,115153.87,0.0
0.0,0.0,116406.21,0.0
0.0,0.0,115632.43,0.0
0.0,0.0,115060.64,0.0
0.0,0.0,102379.4,13091.78
0.0,0.0,116957.02,0.0
0.0,0.0,116141.21,0.0
0.0,0.0,118247.44,0.0
0.0,0.0,118973.31,0.0
0.0,0.0,118697.23,0.0
0.0,0.0,118607.28,0.0
0.0,0.0,119460.33,0.0
0.0,0.0,118945.4,0.0
0.0,0.0,119748.81,0.0
0.0,0.0,116497.93,0.0
0.0,0.0,120825.19,0.0
0.0,0.0,121343.22,0.0
0.0,0.0,120915.15,0.0
0.0,0.0,120974.09,0.0
0.0,0.0,138069.09,0.0
0.0,0.0,136040.4,0.0
0.0,0.0,133171.07,0.0
