Date,Federal Funds Rate,10-Year Treasury Yield,CPI All Items,Personal Consumption Expenditures,Unemployment Rate,Industrial Production Index,GDP,Recession Indicator,VIX Market Volatility
2010-01-01,0.11,,217.488,10056.1,9.8,89.1897,14764.61,0.0,
2010-02-01,0.13,3.68,217.281,10093.4,9.8,89.5046,14764.61,0.0,22.59
2010-03-01,0.16,3.61,217.353,10156.0,9.9,90.1356,14764.61,0.0,19.26
2010-04-01,0.2,3.89,217.403,10182.3,9.9,90.4607,14980.193,0.0,17.47
2010-05-01,0.2,3.89,217.29,10210.8,9.6,91.7014,14980.193,0.0,17.47
2010-06-01,0.18,3.29,217.199,10231.3,9.4,91.9033,14980.193,0.0,35.54
2010-07-01,0.18,2.96,217.605,10268.1,9.4,92.2549,15141.607,0.0,32.86
2010-08-01,0.19,2.96,217.923,10307.1,9.5,92.5936,15141.607,0.0,32.86
2010-09-01,0.19,2.58,218.275,10327.1,9.5,92.8533,15141.607,0.0,23.89
2010-10-01,0.19,2.54,219.035,10386.4,9.4,92.6033,15309.474,0.0,22.5
2010-11-01,0.19,2.66,219.59,10433.6,9.8,92.6686,15309.474,0.0,21.83
2010-12-01,0.18,2.97,220.472,10471.0,9.3,93.5916,15309.474,0.0,21.36
2011-01-01,0.17,2.97,221.187,10514.3,9.1,93.3889,15351.448,0.0,21.36
2011-02-01,0.16,3.48,221.898,10540.6,9.0,93.0045,15351.448,0.0,17.63
2011-03-01,0.14,3.41,223.046,10619.7,9.0,93.9684,15351.448,0.0,21.01
2011-04-01,0.1,3.46,224.093,10652.1,9.1,93.6571,15557.539,0.0,17.4
2011-05-01,0.09,3.46,224.806,10672.2,9.0,93.7723,15557.539,0.0,17.4
2011-06-01,0.09,2.96,224.806,10694.8,9.1,94.0493,15557.539,0.0,18.3
2011-07-01,0.07,3.22,225.395,10731.6,9.0,94.4958,15647.68,0.0,15.87
2011-08-01,0.1,2.77,226.106,10750.3,9.0,95.0974,15647.68,0.0,23.66
2011-09-01,0.08,2.15,226.597,10783.2,9.0,95.0244,15647.68,0.0,31.82
2011-10-01,0.07,2.15,226.75,10802.9,8.8,95.6891,15842.259,0.0,31.82
2011-11-01,0.08,2.01,227.169,10806.8,8.6,95.6778,15842.259,0.0,34.77
2011-12-01,0.07,2.11,227.223,10817.8,8.5,96.1809,15842.259,0.0,27.41
2012-01-01,0.08,2.11,227.842,10896.8,8.3,96.7595,16068.805,0.0,27.41
2012-02-01,0.1,1.87,228.329,10987.2,8.3,97.0662,16068.805,0.0,18.55
2012-03-01,0.13,2.03,228.807,10993.9,8.2,96.5609,16068.805,0.0,17.26
2012-04-01,0.14,2.03,229.187,11018.5,8.2,97.251,16207.115,0.0,17.26
2012-05-01,0.16,1.98,228.713,11006.8,8.2,97.4595,16207.115,0.0,16.6
2012-06-01,0.16,1.47,228.524,10989.8,8.2,97.4768,16207.115,0.0,26.66
2012-07-01,0.16,1.47,228.59,11016.8,8.2,97.6714,16319.541,0.0,26.66
2012-08-01,0.13,1.56,229.918,11056.0,8.1,97.2734,16319.541,0.0,18.96
2012-09-01,0.14,1.56,231.015,11105.3,7.8,97.2217,16319.541,0.0,18.96
2012-10-01,0.16,1.64,231.638,11137.4,7.8,97.5311,16420.419,0.0,16.32
2012-11-01,0.16,1.75,231.249,11178.4,7.7,97.9084,16420.419,0.0,16.69
2012-12-01,0.16,1.75,231.221,11181.2,7.9,98.1884,16420.419,0.0,16.69
2013-01-01,0.14,1.75,231.679,11252.4,8.0,98.1736,16648.189,0.0,16.69
2013-02-01,0.15,2.04,232.937,11290.5,7.7,98.6434,16648.189,0.0,12.9
2013-03-01,0.14,1.86,232.282,11290.1,7.5,99.047,16648.189,0.0,15.36
2013-04-01,0.15,1.86,231.797,11281.1,7.6,98.9445,16728.687,0.0,13.58
2013-05-01,0.11,1.66,231.893,11321.6,7.5,99.0383,16728.687,0.0,14.49
2013-06-01,0.09,1.66,232.445,11344.4,7.5,99.2221,16728.687,0.0,14.49
2013-07-01,0.09,2.5,232.9,11372.6,7.3,98.8987,16953.838,0.0,16.37
2013-08-01,0.08,2.74,233.456,11406.6,7.2,99.4897,16953.838,0.0,12.94
2013-09-01,0.08,2.74,233.544,11445.9,7.2,100.021,16953.838,0.0,12.94
2013-10-01,0.09,2.66,233.669,11498.0,7.2,99.9037,17192.019,0.0,15.54
2013-11-01,0.08,2.65,234.1,11562.5,6.9,100.1582,17192.019,0.0,13.28
2013-12-01,0.09,2.65,234.719,11593.2,6.7,100.374,17192.019,0.0,13.28
2014-01-01,0.07,2.65,235.288,11578.8,6.6,99.9899,17197.738,0.0,13.28
2014-02-01,0.07,2.65,235.547,11636.9,6.7,100.7471,17197.738,0.0,13.28
2014-03-01,0.08,2.65,236.028,11722.3,6.7,101.7435,17197.738,0.0,13.28
2014-04-01,0.09,2.77,236.468,11762.3,6.2,101.8273,17518.508,0.0,13.1
2014-05-01,0.09,2.63,236.918,11807.3,6.3,102.2392,17518.508,0.0,13.25
2014-06-01,0.1,2.63,237.231,11861.7,6.1,102.5774,17518.508,0.0,13.25
2014-07-01,0.09,2.58,237.498,11904.4,6.2,102.7954,17804.228,0.0,11.15
2014-08-01,0.09,2.52,237.46,11983.7,6.1,102.6322,17804.228,0.0,17.03
